Serial,Accident ID,Lat,Long,Day of week,Date in month,Month,Year,Date,Time,Time(12h),Relative Wealth Index
49,1.7E+14,23.79902174,90.40183143,3,25,10,17,2017-10,15:45,3:45 PM,0.978
50,1.7E+14,23.79902174,90.40183143,7,15,10,17,2017-10,8:15,8:15 AM,0.978
51,1.7E+14,23.70997751,90.42543131,4,19,10,17,2017-10,20:10,8:10 PM,1.273
52,1.7E+14,23.7011074,90.39753114,5,17,3,17,2017-03,7:35,7:35 AM,0.999
53,1.7E+14,23.79193781,90.42454192,6,28,1,17,2017-01,9:40,9:40 AM,1.961
54,1.7E+14,23.79193781,90.42454192,3,25,1,17,2017-01,9:15,9:15 AM,1.961
55,1.7E+14,23.81760226,90.42108756,4,6,4,17,2017-04,1:10,1:10 AM,1.391
56,1.7E+14,23.79548523,90.41375882,1,10,7,17,2017-07,6:30,6:30 AM,0.978
57,1.7E+14,23.79220209,90.42448675,7,2,7,17,2017-07,14:40,2:40 PM,1.961
58,1.7E+14,23.79037896,90.37567503,2,6,6,17,2017-06,20:45,8:45 PM,1.342
59,1.7E+14,23.8027043,90.35955174,7,11,6,17,2017-06,22:30,10:30 PM,1.278
60,1.7E+14,23.80630108,90.36253425,4,15,6,17,2017-06,18:45,6:45 PM,1.456
61,1.7E+14,23.8068887,90.36853319,5,21,7,17,2017-07,20:30,8:30 PM,1.456
62,1.7E+14,23.80017702,90.35560423,1,11,9,17,2017-09,13:15,1:15 PM,1.278
63,1.7E+14,23.80020512,90.35563611,1,4,12,17,2017-12,1:30,1:30 AM,1.278
64,1.7E+14,23.81663521,90.36599427,5,20,1,17,2017-01,1:56,1:56 AM,1.456
65,1.7E+14,23.81698004,90.36590125,7,29,1,17,2017-01,10:10,10:10 AM,1.456
66,1.7E+14,23.81659282,90.36588012,7,12,2,17,2017-02,0:40,12:40 AM,1.456
67,1.7E+14,23.79044033,90.37564081,4,2,3,17,2017-03,14:00,2:00 PM,1.342
68,1.7E+14,23.81969236,90.36585075,7,12,3,17,2017-03,14:00,2:00 PM,1.456
69,1.7E+14,23.78514101,90.35972206,2,14,3,17,2017-03,8:30,8:30 AM,1.305
70,1.7E+14,23.83157557,90.41557312,6,22,4,17,2017-04,11:30,11:30 AM,1.006
71,1.7E+14,23.78424121,90.3532785,4,14,12,17,2017-12,20:00,8:00 PM,1.305
72,1.7E+14,23.83143927,90.41476634,4,5,1,17,2017-01,15:30,3:30 PM,1.006
73,1.7E+14,23.80335446,90.37472008,1,16,1,17,2017-01,15:00,3:00 PM,1.342
74,1.7E+14,23.78421111,90.35325503,4,16,2,17,2017-02,11:15,11:15 AM,1.305
75,1.7E+14,23.78152279,90.35176929,1,10,7,17,2017-07,16:35,4:35 PM,1.305
76,1.7E+14,23.81101856,90.34879519,1,4,9,17,2017-09,3:45,3:45 AM,1.166
77,1.7E+14,23.83143927,90.41476634,6,16,9,17,2017-09,20:30,8:30 PM,1.006
